	Chen_Zhang_2020_NSCLC-1	Chen_Zhang_2020_NSCLC-11	Chen_Zhang_2020_NSCLC-2	Chen_Zhang_2020_NSCLC-3	Chen_Zhang_2020_NSCLC-6	Chen_Zhang_2020_NSCLC-7	He_Fan_2021_LUAD1	He_Fan_2021_LUAD2	He_Fan_2021_LUAD3	He_Fan_2021_LUAD4	He_Fan_2021_LUAD5	Kim_Lee_2020_LUNG_T06	Kim_Lee_2020_LUNG_T08	Kim_Lee_2020_LUNG_T09	Kim_Lee_2020_LUNG_T18	Kim_Lee_2020_LUNG_T19	Kim_Lee_2020_LUNG_T20	Kim_Lee_2020_LUNG_T25	Kim_Lee_2020_LUNG_T30	Kim_Lee_2020_LUNG_T34	Lambrechts_Thienpont_2018_6149v1_BT1249	Lambrechts_Thienpont_2018_6149v1_BT1A	Lambrechts_Thienpont_2018_6149v1_BT1B	Lambrechts_Thienpont_2018_6149v1_BT1C	Lambrechts_Thienpont_2018_6149v1_BT2A	Lambrechts_Thienpont_2018_6149v1_BT2B	Lambrechts_Thienpont_2018_6149v2_BT1295	Lambrechts_Thienpont_2018_6149v2_BT1296	Lambrechts_Thienpont_2018_6149v2_BT1297	Lambrechts_Thienpont_2018_6149v2_BT1298	Lambrechts_Thienpont_2018_6149v2_BT1299	Lambrechts_Thienpont_2018_6149v2_BT1300	Lambrechts_Thienpont_2018_6653_BT1375	Lambrechts_Thienpont_2018_6653_BT1376	Lambrechts_Thienpont_2018_6653_BT1377	Lambrechts_Thienpont_2018_6653_scrBT1425_hg19	Lambrechts_Thienpont_2018_6653_scrBT1426_hg19	Lambrechts_Thienpont_2018_6653_scrBT1427_hg19	Laughney_Massague_2020_GSM3516662	Laughney_Massague_2020_GSM3516663	Laughney_Massague_2020_GSM3516667	Laughney_Massague_2020_GSM3516669	Laughney_Massague_2020_GSM3516670	Laughney_Massague_2020_GSM3516672	Laughney_Massague_2020_GSM3516674	Maynard_Bivona_2020_LT_S66	P001	P002	P003	P004	P005	P006	P007	P008	P009	P010	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	P15_T2	P16_T2	P17_T2	P17_T3	P18_T2	P22_T1	P24_T1	P8_T2	UKIM-V-2_P10_tumor_primary	UKIM-V-2_P13_tumor_primary	UKIM-V-2_P14_tumor_primary	UKIM-V-2_P16_tumor_primary	UKIM-V-2_P17_tumor_primary	UKIM-V-2_P4_tumor_primary	UKIM-V-2_P5_tumor_primary	UKIM-V-2_P6_tumor_primary	UKIM-V-2_P8_tumor_primary	UKIM-V-2_P9_tumor_primary	UKIM-V_P1_tumor_primary	UKIM-V_P2_tumor_primary	UKIM-V_P3_tumor_primary	Zilionis_Klein_2019_p1t1	Zilionis_Klein_2019_p1t2	Zilionis_Klein_2019_p1t3	Zilionis_Klein_2019_p1t4	Zilionis_Klein_2019_p4t1	Zilionis_Klein_2019_p4t2	Zilionis_Klein_2019_p4t3	Zilionis_Klein_2019_p6t1	Zilionis_Klein_2019_p6t2
Tumor LUAD_transitional	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	2786.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	27.0	14.0	0.0	6.0	0.0	2.0	2.0	799.0	230.0	1180.0	4.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	215.0	0.0	0.0	0.0	32.0	0.0	2.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	18.0	0.0	3.0	0.0	0.0	79.0	0.0	1238.0	1336.0	17.0	0.0	58.0	4.0	0.0	0.0	25.0	0.0	3.0	0.0	4.0	51.0	6.0	377.0	0.0	1242.0	150.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUSC_LUAD_mitotic	0.0	0.0	0.0	0.0	0.0	278.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUSC_mainly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	15.0	0.0	0.0	0.0	9.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0
Tumor LUSC_mainly2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0
Tumor LUSC_mitotic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUSC_mitotic2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor cells LUAD	0.0	12.0	6.0	0.0	5.0	0.0	77.0	3.0	0.0	30.0	2.0	0.0	0.0	0.0	0.0	7.0	0.0	2.0	2.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	2.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	188.0	4.0	23.0	82.0	81.0	6.0	63.0	51.0	65.0	22.0	398.0	254.0	318.0	39.0	230.0	268.0	57.0	103.0	40.0	124.0	13.0	14.0	40.0	8.0	136.0	117.0	4.0	213.0	0.0	43.0	8.0	35.0	198.0	242.0	8.0	56.0	64.0	3.0	67.0	24.0	77.0	146.0	12.0	0.0	5.0	7.0	0.0	0.0	55.0	0.0	156.0	0.0	4.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor cells LUAD EMT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor cells LUAD mitotic	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	6.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor cells LUSC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor cells LUSC mitotic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor cells NSCLC mixed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor mitotic_LUSC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor mitotic_mixed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	9.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	22.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor mixed_LUAD	0.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	91.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cDC1	4.0	3.0	12.0	15.0	29.0	12.0	24.0	39.0	13.0	25.0	31.0	15.0	8.0	19.0	6.0	22.0	9.0	5.0	16.0	2.0	0.0	2.0	0.0	2.0	3.0	3.0	7.0	8.0	5.0	3.0	4.0	6.0	2.0	0.0	2.0	10.0	15.0	9.0	0.0	32.0	0.0	2.0	0.0	8.0	0.0	0.0	2.0	18.0	13.0	2.0	10.0	4.0	10.0	0.0	0.0	9.0	5.0	6.0	12.0	0.0	0.0	3.0	0.0	7.0	0.0	0.0	6.0	11.0	2.0	13.0	0.0	6.0	13.0	6.0	3.0	9.0	14.0	6.0	8.0	7.0	2.0	2.0	3.0	0.0	2.0	3.0	2.0	3.0	0.0	5.0	0.0	78.0	79.0	24.0	3.0	6.0	29.0	39.0	2.0	0.0	3.0	0.0	2.0	0.0	9.0	0.0	5.0	6.0	12.0	2.0	4.0	2.0	2.0	0.0	3.0	0.0	2.0	5.0	5.0
cDC2	7.0	40.0	45.0	25.0	596.0	78.0	472.0	789.0	551.0	310.0	669.0	126.0	32.0	69.0	96.0	139.0	108.0	57.0	122.0	46.0	4.0	16.0	13.0	11.0	9.0	21.0	33.0	26.0	46.0	23.0	42.0	44.0	26.0	17.0	6.0	103.0	124.0	154.0	0.0	192.0	56.0	35.0	22.0	55.0	0.0	91.0	38.0	385.0	181.0	120.0	88.0	190.0	115.0	25.0	113.0	196.0	91.0	145.0	146.0	81.0	101.0	246.0	81.0	70.0	50.0	48.0	241.0	358.0	54.0	476.0	297.0	323.0	166.0	91.0	63.0	422.0	69.0	141.0	207.0	246.0	255.0	119.0	84.0	93.0	52.0	62.0	65.0	104.0	76.0	108.0	2.0	625.0	687.0	1071.0	20.0	280.0	251.0	259.0	61.0	150.0	71.0	20.0	53.0	49.0	120.0	5.0	96.0	20.0	123.0	150.0	59.0	55.0	35.0	37.0	23.0	32.0	38.0	46.0	50.0
myeloid dividing	0.0	7.0	3.0	2.0	135.0	7.0	143.0	343.0	123.0	55.0	149.0	21.0	7.0	5.0	37.0	27.0	21.0	16.0	31.0	9.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	4.0	7.0	12.0	3.0	3.0	11.0	9.0	18.0	0.0	18.0	6.0	2.0	13.0	15.0	2.0	13.0	6.0	73.0	10.0	15.0	21.0	33.0	11.0	10.0	41.0	23.0	63.0	91.0	50.0	38.0	26.0	26.0	52.0	35.0	50.0	3.0	24.0	67.0	6.0	210.0	35.0	113.0	19.0	16.0	24.0	44.0	7.0	24.0	52.0	59.0	48.0	25.0	41.0	50.0	105.0	31.0	28.0	21.0	42.0	5.0	0.0	238.0	216.0	247.0	2.0	407.0	258.0	34.0	11.0	42.0	38.0	5.0	38.0	8.0	38.0	0.0	7.0	3.0	23.0	40.0	19.0	23.0	12.0	14.0	3.0	2.0	2.0	12.0	10.0
pDC	5.0	12.0	7.0	35.0	9.0	21.0	6.0	37.0	13.0	7.0	35.0	5.0	3.0	20.0	6.0	10.0	18.0	6.0	21.0	0.0	0.0	0.0	2.0	2.0	2.0	8.0	4.0	13.0	6.0	4.0	2.0	11.0	3.0	0.0	0.0	13.0	18.0	14.0	0.0	8.0	8.0	30.0	0.0	18.0	0.0	5.0	9.0	59.0	35.0	18.0	5.0	10.0	37.0	18.0	0.0	35.0	8.0	8.0	19.0	5.0	8.0	28.0	24.0	31.0	41.0	23.0	35.0	66.0	27.0	87.0	13.0	15.0	75.0	132.0	11.0	31.0	59.0	72.0	72.0	11.0	88.0	59.0	96.0	28.0	100.0	9.0	27.0	27.0	28.0	5.0	3.0	89.0	71.0	105.0	12.0	10.0	100.0	76.0	14.0	36.0	6.0	27.0	3.0	8.0	22.0	4.0	29.0	25.0	8.0	15.0	30.0	28.0	10.0	17.0	8.0	14.0	8.0	2.0	5.0
stromal dividing	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transitional club/AT2	15.0	88.0	62.0	11.0	60.0	0.0	1150.0	49.0	117.0	5925.0	17.0	19.0	10.0	18.0	0.0	74.0	32.0	114.0	421.0	1252.0	0.0	2.0	2.0	5.0	0.0	4.0	13.0	6.0	13.0	7.0	54.0	35.0	64.0	25.0	11.0	19.0	53.0	67.0	67.0	57.0	2.0	3.0	7.0	2.0	89.0	22.0	11.0	247.0	24.0	58.0	81.0	66.0	19.0	22.0	34.0	110.0	56.0	222.0	342.0	279.0	99.0	939.0	49.0	66.0	76.0	71.0	86.0	85.0	46.0	166.0	55.0	411.0	106.0	9.0	1938.0	45.0	56.0	39.0	60.0	160.0	56.0	24.0	108.0	89.0	7.0	103.0	39.0	121.0	79.0	27.0	0.0	24.0	16.0	7.0	21.0	725.0	109.0	142.0	36.0	307.0	723.0	0.0	10.0	2.0	7.0	0.0	31.0	2.0	18.0	9.0	9.0	10.0	0.0	4.0	25.0	26.0	28.0	34.0	17.0
Alveolar cell type 1	0.0	3.0	0.0	0.0	45.0	0.0	7.0	20.0	10.0	18.0	0.0	6.0	0.0	0.0	0.0	10.0	0.0	3.0	20.0	14.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	28.0	0.0	5.0	0.0	0.0	0.0	0.0	19.0	11.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	369.0	11.0	18.0	2.0	6.0	8.0	7.0	2.0	20.0	6.0	39.0	26.0	9.0	10.0	17.0	3.0	3.0	4.0	5.0	7.0	3.0	33.0	59.0	10.0	6.0	8.0	13.0	6.0	0.0	6.0	39.0	22.0	16.0	12.0	37.0	2.0	0.0	5.0	2.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	13.0	0.0	7.0	5.0	11.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alveolar cell type 2	0.0	23.0	2.0	0.0	135.0	0.0	50.0	37.0	18.0	426.0	70.0	26.0	13.0	72.0	0.0	104.0	51.0	59.0	295.0	87.0	0.0	2.0	0.0	3.0	3.0	26.0	4.0	18.0	15.0	0.0	10.0	17.0	11.0	3.0	8.0	15.0	28.0	21.0	10.0	12.0	0.0	2.0	0.0	0.0	21.0	23.0	33.0	1207.0	70.0	1443.0	90.0	94.0	32.0	118.0	27.0	266.0	198.0	405.0	345.0	79.0	215.0	250.0	57.0	16.0	43.0	42.0	222.0	152.0	47.0	165.0	404.0	269.0	471.0	126.0	1013.0	15.0	19.0	146.0	59.0	551.0	29.0	121.0	19.0	0.0	62.0	30.0	4.0	23.0	49.0	23.0	0.0	23.0	16.0	4.0	109.0	27.0	53.0	10.0	18.0	29.0	46.0	0.0	0.0	0.0	2.0	5.0	64.0	5.0	54.0	19.0	11.0	13.0	5.0	8.0	4.0	4.0	2.0	48.0	58.0
B cell	771.0	246.0	552.0	774.0	119.0	1841.0	89.0	237.0	44.0	22.0	324.0	455.0	702.0	80.0	237.0	361.0	48.0	1299.0	51.0	19.0	0.0	4.0	4.0	24.0	16.0	127.0	80.0	163.0	125.0	195.0	610.0	232.0	248.0	88.0	69.0	34.0	31.0	30.0	0.0	79.0	688.0	18.0	20.0	600.0	11.0	9.0	255.0	116.0	1079.0	66.0	52.0	194.0	284.0	661.0	27.0	187.0	25.0	144.0	181.0	9.0	231.0	300.0	116.0	314.0	33.0	601.0	879.0	512.0	1308.0	121.0	417.0	193.0	142.0	344.0	13.0	672.0	843.0	265.0	92.0	232.0	61.0	324.0	32.0	440.0	131.0	394.0	204.0	302.0	375.0	1622.0	674.0	1027.0	1203.0	5373.0	7.0	1104.0	8870.0	350.0	28.0	610.0	103.0	266.0	69.0	236.0	66.0	4.0	138.0	82.0	93.0	132.0	69.0	60.0	37.0	48.0	43.0	29.0	33.0	314.0	272.0
B cell dividing	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	0.0	3.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	38.0	228.0	0.0	2.0	528.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
