	Chen_Zhang_2020_NSCLC-1	Chen_Zhang_2020_NSCLC-11	Chen_Zhang_2020_NSCLC-2	Chen_Zhang_2020_NSCLC-3	Chen_Zhang_2020_NSCLC-6	Chen_Zhang_2020_NSCLC-7	He_Fan_2021_LUAD1	He_Fan_2021_LUAD2	He_Fan_2021_LUAD3	He_Fan_2021_LUAD4	He_Fan_2021_LUAD5	Kim_Lee_2020_LUNG_T06	Kim_Lee_2020_LUNG_T08	Kim_Lee_2020_LUNG_T09	Kim_Lee_2020_LUNG_T18	Kim_Lee_2020_LUNG_T19	Kim_Lee_2020_LUNG_T20	Kim_Lee_2020_LUNG_T25	Kim_Lee_2020_LUNG_T30	Kim_Lee_2020_LUNG_T34	Lambrechts_Thienpont_2018_6149v1_BT1249	Lambrechts_Thienpont_2018_6149v1_BT1A	Lambrechts_Thienpont_2018_6149v1_BT1B	Lambrechts_Thienpont_2018_6149v1_BT1C	Lambrechts_Thienpont_2018_6149v1_BT2A	Lambrechts_Thienpont_2018_6149v1_BT2B	Lambrechts_Thienpont_2018_6149v2_BT1295	Lambrechts_Thienpont_2018_6149v2_BT1296	Lambrechts_Thienpont_2018_6149v2_BT1297	Lambrechts_Thienpont_2018_6149v2_BT1298	Lambrechts_Thienpont_2018_6149v2_BT1299	Lambrechts_Thienpont_2018_6149v2_BT1300	Lambrechts_Thienpont_2018_6653_BT1375	Lambrechts_Thienpont_2018_6653_BT1376	Lambrechts_Thienpont_2018_6653_BT1377	Lambrechts_Thienpont_2018_6653_scrBT1425_hg19	Lambrechts_Thienpont_2018_6653_scrBT1426_hg19	Lambrechts_Thienpont_2018_6653_scrBT1427_hg19	Laughney_Massague_2020_GSM3516662	Laughney_Massague_2020_GSM3516663	Laughney_Massague_2020_GSM3516667	Laughney_Massague_2020_GSM3516669	Laughney_Massague_2020_GSM3516670	Laughney_Massague_2020_GSM3516672	Laughney_Massague_2020_GSM3516674	Maynard_Bivona_2020_LT_S66	P001	P002	P003	P004	P005	P006	P007	P008	P009	P010	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	P15_T2	P16_T2	P17_T2	P17_T3	P18_T2	P19_T2	P21_T1	P21_T2	P22_T1	P24_T1	P8_T2	UKIM-V-2_P10_tumor_primary	UKIM-V-2_P13_tumor_primary	UKIM-V-2_P14_tumor_primary	UKIM-V-2_P16_tumor_primary	UKIM-V-2_P17_tumor_primary	UKIM-V-2_P4_tumor_primary	UKIM-V-2_P5_tumor_primary	UKIM-V-2_P6_tumor_primary	UKIM-V-2_P8_tumor_primary	UKIM-V-2_P9_tumor_primary	UKIM-V_P1_tumor_primary	UKIM-V_P2_tumor_primary	UKIM-V_P3_tumor_primary	Zilionis_Klein_2019_p1t1	Zilionis_Klein_2019_p1t2	Zilionis_Klein_2019_p1t3	Zilionis_Klein_2019_p1t4	Zilionis_Klein_2019_p4t1	Zilionis_Klein_2019_p4t2	Zilionis_Klein_2019_p4t3	Zilionis_Klein_2019_p6t1	Zilionis_Klein_2019_p6t2
cDC1	4.0	3.0	12.0	15.0	29.0	12.0	24.0	39.0	13.0	25.0	31.0	15.0	8.0	19.0	6.0	22.0	9.0	5.0	16.0	2.0	0.0	2.0	0.0	2.0	3.0	3.0	7.0	8.0	5.0	3.0	4.0	6.0	2.0	0.0	2.0	10.0	15.0	9.0	0.0	32.0	0.0	2.0	0.0	8.0	0.0	0.0	2.0	16.0	9.0	0.0	8.0	3.0	14.0	0.0	2.0	10.0	9.0	8.0	15.0	2.0	2.0	8.0	0.0	9.0	0.0	3.0	2.0	5.0	4.0	14.0	3.0	6.0	25.0	8.0	5.0	9.0	14.0	9.0	6.0	5.0	10.0	5.0	2.0	3.0	11.0	5.0	6.0	4.0	3.0	5.0	0.0	85.0	85.0	24.0	34.0	6.0	2.0	3.0	8.0	35.0	39.0	2.0	0.0	3.0	0.0	2.0	0.0	9.0	0.0	5.0	6.0	12.0	2.0	4.0	2.0	2.0	0.0	3.0	0.0	2.0	5.0	5.0
cDC2	7.0	40.0	45.0	25.0	596.0	78.0	472.0	789.0	551.0	310.0	669.0	126.0	32.0	69.0	96.0	139.0	108.0	57.0	122.0	46.0	4.0	16.0	13.0	11.0	9.0	21.0	33.0	26.0	46.0	23.0	42.0	44.0	26.0	17.0	6.0	103.0	124.0	154.0	0.0	192.0	56.0	35.0	22.0	55.0	0.0	91.0	51.0	411.0	174.0	155.0	146.0	253.0	128.0	31.0	184.0	213.0	117.0	226.0	196.0	115.0	172.0	231.0	187.0	94.0	177.0	81.0	225.0	373.0	78.0	422.0	303.0	424.0	162.0	110.0	78.0	560.0	67.0	133.0	233.0	345.0	306.0	128.0	78.0	97.0	71.0	77.0	85.0	144.0	84.0	81.0	0.0	454.0	504.0	801.0	629.0	46.0	30.0	17.0	202.0	158.0	259.0	61.0	150.0	71.0	20.0	53.0	49.0	120.0	5.0	96.0	20.0	123.0	150.0	59.0	55.0	35.0	37.0	23.0	32.0	38.0	46.0	50.0
myeloid dividing	0.0	7.0	3.0	2.0	135.0	7.0	143.0	343.0	123.0	55.0	149.0	21.0	7.0	5.0	37.0	27.0	21.0	16.0	31.0	9.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	4.0	7.0	12.0	3.0	3.0	11.0	9.0	18.0	0.0	18.0	6.0	2.0	13.0	15.0	2.0	13.0	7.0	50.0	10.0	12.0	5.0	22.0	5.0	6.0	36.0	24.0	33.0	66.0	35.0	17.0	8.0	15.0	42.0	24.0	51.0	8.0	24.0	49.0	7.0	193.0	27.0	52.0	11.0	8.0	9.0	40.0	7.0	17.0	56.0	45.0	37.0	19.0	35.0	41.0	167.0	31.0	31.0	26.0	37.0	6.0	0.0	307.0	311.0	325.0	164.0	54.0	8.0	2.0	426.0	149.0	34.0	11.0	42.0	38.0	5.0	38.0	8.0	38.0	0.0	7.0	3.0	23.0	40.0	19.0	23.0	12.0	14.0	3.0	2.0	2.0	12.0	10.0
pDC	5.0	12.0	7.0	35.0	9.0	21.0	6.0	37.0	13.0	7.0	35.0	5.0	3.0	20.0	6.0	10.0	18.0	6.0	21.0	0.0	0.0	0.0	2.0	2.0	2.0	8.0	4.0	13.0	6.0	4.0	2.0	11.0	3.0	0.0	0.0	13.0	18.0	14.0	0.0	8.0	8.0	30.0	0.0	18.0	0.0	5.0	6.0	51.0	30.0	15.0	5.0	5.0	27.0	15.0	0.0	27.0	7.0	7.0	16.0	5.0	5.0	21.0	23.0	29.0	35.0	20.0	27.0	62.0	17.0	73.0	9.0	12.0	67.0	123.0	10.0	26.0	57.0	63.0	68.0	7.0	77.0	49.0	90.0	27.0	97.0	7.0	25.0	26.0	26.0	3.0	3.0	102.0	92.0	102.0	90.0	0.0	3.0	11.0	12.0	171.0	76.0	14.0	36.0	6.0	27.0	3.0	8.0	22.0	4.0	29.0	25.0	8.0	15.0	30.0	28.0	10.0	17.0	8.0	14.0	8.0	2.0	5.0
stromal dividing	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B cell	771.0	246.0	552.0	774.0	119.0	1841.0	89.0	237.0	44.0	22.0	324.0	455.0	702.0	80.0	237.0	361.0	48.0	1299.0	51.0	19.0	0.0	4.0	4.0	24.0	16.0	127.0	80.0	163.0	125.0	195.0	610.0	232.0	248.0	88.0	69.0	34.0	31.0	30.0	0.0	79.0	688.0	18.0	20.0	600.0	11.0	9.0	245.0	103.0	1052.0	69.0	60.0	195.0	256.0	631.0	29.0	180.0	24.0	139.0	178.0	10.0	233.0	295.0	118.0	313.0	34.0	584.0	825.0	465.0	1230.0	124.0	414.0	193.0	133.0	344.0	15.0	639.0	773.0	260.0	84.0	229.0	70.0	328.0	32.0	444.0	125.0	392.0	196.0	295.0	353.0	1617.0	661.0	989.0	1165.0	5171.0	5033.0	10.0	50.0	8.0	1094.0	7198.0	350.0	28.0	610.0	103.0	266.0	69.0	236.0	66.0	4.0	138.0	82.0	93.0	132.0	69.0	60.0	37.0	48.0	43.0	29.0	33.0	314.0	272.0
B cell dividing	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	0.0	3.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	9.0	121.0	115.0	0.0	0.0	0.0	0.0	246.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Ciliated	0.0	23.0	0.0	5.0	41.0	0.0	29.0	67.0	417.0	146.0	222.0	6.0	0.0	0.0	5.0	2.0	0.0	7.0	31.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	11.0	80.0	59.0	30.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	14.0	3.0	0.0	4.0	2.0	7.0	0.0	222.0	39.0	5.0	36.0	28.0	3.0	7.0	0.0	59.0	24.0	44.0	2.0	12.0	141.0	5.0	4.0	0.0	0.0	27.0	8.0	17.0	13.0	20.0	28.0	41.0	50.0	8.0	11.0	34.0	3.0	5.0	5.0	40.0	0.0	40.0	135.0	16.0	0.0	12.0	18.0	42.0	4.0	134.0	0.0	140.0	116.0	302.0	199.0	340.0	79.0	180.0	316.0	381.0	39.0	11.0	25.0	3.0	7.0	2.0	9.0	12.0	0.0	0.0	4.0	11.0	15.0	6.0	4.0	3.0	4.0	0.0	0.0	0.0	10.0	7.0
Club_AT2/1_high	3.0	4.0	0.0	0.0	10.0	0.0	5.0	3.0	53.0	6510.0	0.0	65.0	0.0	0.0	0.0	3.0	3.0	0.0	44.0	1599.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	72.0	57.0	0.0	0.0	0.0	0.0	2.0	35.0	3.0	39.0	0.0	13.0	14.0	6.0	0.0	6.0	5.0	11.0	32.0	19.0	27.0	192.0	10.0	25.0	17.0	11.0	19.0	6.0	5.0	3.0	17.0	59.0	12.0	23.0	9.0	9.0	1373.0	2.0	14.0	8.0	4.0	11.0	18.0	2.0	26.0	9.0	0.0	23.0	3.0	28.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	8.0	332.0	38.0	29.0	859.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	10.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	69.0
DC mature	0.0	7.0	4.0	5.0	9.0	6.0	22.0	62.0	36.0	24.0	75.0	9.0	11.0	13.0	6.0	22.0	15.0	11.0	19.0	3.0	0.0	2.0	2.0	3.0	0.0	2.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	8.0	16.0	0.0	6.0	4.0	0.0	0.0	7.0	0.0	8.0	6.0	41.0	36.0	7.0	35.0	19.0	10.0	18.0	3.0	27.0	12.0	24.0	17.0	8.0	79.0	24.0	25.0	5.0	10.0	4.0	16.0	62.0	19.0	48.0	20.0	37.0	21.0	24.0	7.0	118.0	19.0	10.0	60.0	23.0	33.0	5.0	8.0	28.0	18.0	8.0	24.0	12.0	43.0	0.0	0.0	40.0	36.0	33.0	37.0	9.0	2.0	0.0	39.0	47.0	19.0	5.0	7.0	4.0	2.0	4.0	5.0	2.0	0.0	2.0	0.0	5.0	0.0	5.0	4.0	2.0	0.0	0.0	5.0	2.0	4.0	2.0
Endothelial cell arterial	17.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	7.0	0.0	0.0	2.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	4.0	0.0	6.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
Endothelial cell capillary	80.0	0.0	0.0	0.0	63.0	0.0	6.0	5.0	6.0	7.0	3.0	9.0	0.0	0.0	0.0	20.0	0.0	7.0	24.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	24.0	0.0	0.0	8.0	0.0	0.0	0.0	13.0	22.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	5.0	3.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0
Endothelial cell lymphatic	0.0	4.0	6.0	0.0	7.0	15.0	7.0	2.0	40.0	21.0	4.0	2.0	3.0	0.0	3.0	7.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	2.0	5.0	5.0	0.0	0.0	5.0	10.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	2.0	2.0	2.0	0.0	0.0	3.0	4.0	0.0	14.0	0.0	6.0	3.0	12.0	7.0	5.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	4.0	12.0	6.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	4.0	8.0	9.0	0.0	9.0	5.0	2.0	0.0	0.0	12.0	0.0	4.0	0.0	0.0	3.0	5.0	2.0	9.0	0.0	0.0	19.0	0.0	18.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell venous	90.0	150.0	50.0	29.0	125.0	34.0	67.0	34.0	68.0	86.0	50.0	33.0	6.0	24.0	13.0	107.0	2.0	15.0	73.0	14.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	7.0	28.0	44.0	153.0	46.0	3.0	2.0	6.0	23.0	29.0	25.0	4.0	0.0	2.0	15.0	0.0	40.0	0.0	50.0	11.0	49.0	36.0	8.0	7.0	10.0	9.0	248.0	31.0	132.0	13.0	84.0	45.0	78.0	38.0	25.0	4.0	15.0	0.0	9.0	146.0	16.0	59.0	190.0	6.0	0.0	19.0	65.0	38.0	14.0	20.0	28.0	116.0	161.0	100.0	117.0	8.0	14.0	10.0	10.0	36.0	16.0	92.0	3.0	0.0	7.0	5.0	61.0	2.0	2.0	0.0	9.0	190.0	28.0	24.0	9.0	17.0	2.0	2.0	0.0	2.0	12.0	0.0	11.0	0.0	7.0	9.0	9.0	11.0	4.0	3.0	2.0	3.0	2.0	26.0	19.0
Fibroblast adventitial	0.0	2.0	39.0	18.0	5.0	5.0	8.0	4.0	10.0	11.0	2.0	17.0	32.0	0.0	13.0	3.0	0.0	2.0	2.0	4.0	18.0	0.0	0.0	0.0	2.0	13.0	0.0	0.0	0.0	10.0	42.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	6.0	0.0	13.0	0.0	9.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	8.0	0.0	0.0	0.0	4.0	6.0	4.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	10.0	7.0	2.0	0.0	0.0	2.0	4.0	0.0	0.0	5.0	3.0	11.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	11.0	0.0	3.0	0.0	11.0	0.0	18.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0
Fibroblast alveolar	6.0	13.0	141.0	13.0	12.0	0.0	44.0	8.0	23.0	28.0	7.0	284.0	117.0	0.0	18.0	54.0	0.0	11.0	48.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	12.0	20.0	20.0	27.0	0.0	3.0	2.0	4.0	9.0	5.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	26.0	2.0	21.0	3.0	4.0	0.0	4.0	16.0	105.0	0.0	45.0	0.0	52.0	60.0	153.0	7.0	6.0	2.0	47.0	0.0	3.0	41.0	2.0	89.0	28.0	0.0	0.0	26.0	8.0	20.0	0.0	4.0	88.0	39.0	124.0	5.0	58.0	5.0	28.0	0.0	12.0	9.0	15.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	10.0
Fibroblast peribronchial	0.0	69.0	27.0	14.0	21.0	98.0	190.0	61.0	12.0	3.0	48.0	45.0	3.0	4.0	87.0	17.0	11.0	6.0	6.0	2.0	11.0	0.0	0.0	2.0	10.0	43.0	5.0	7.0	0.0	53.0	20.0	33.0	0.0	2.0	0.0	19.0	13.0	20.0	0.0	0.0	5.0	5.0	2.0	48.0	0.0	16.0	0.0	70.0	11.0	0.0	0.0	2.0	3.0	15.0	0.0	12.0	0.0	79.0	16.0	69.0	0.0	0.0	6.0	54.0	0.0	12.0	6.0	0.0	27.0	186.0	0.0	0.0	8.0	0.0	7.0	0.0	51.0	46.0	64.0	6.0	30.0	63.0	10.0	55.0	18.0	8.0	78.0	12.0	72.0	0.0	0.0	31.0	41.0	529.0	22.0	0.0	0.0	0.0	32.0	45.0	0.0	0.0	0.0	0.0	16.0	3.0	0.0	8.0	0.0	2.0	0.0	18.0	7.0	52.0	41.0	20.0	26.0	0.0	0.0	0.0	9.0	9.0
Macrophage	27.0	131.0	358.0	71.0	2487.0	2471.0	4259.0	2375.0	490.0	844.0	618.0	213.0	129.0	907.0	597.0	330.0	424.0	244.0	173.0	132.0	15.0	42.0	60.0	106.0	92.0	206.0	129.0	313.0	112.0	93.0	131.0	198.0	40.0	69.0	23.0	539.0	681.0	652.0	39.0	128.0	22.0	79.0	47.0	204.0	37.0	52.0	16.0	339.0	30.0	21.0	144.0	353.0	52.0	42.0	766.0	331.0	226.0	545.0	470.0	216.0	66.0	61.0	505.0	132.0	1140.0	102.0	93.0	256.0	141.0	373.0	63.0	530.0	75.0	188.0	68.0	818.0	46.0	147.0	345.0	180.0	229.0	250.0	95.0	835.0	2439.0	233.0	2071.0	204.0	504.0	39.0	0.0	2185.0	2248.0	3247.0	1864.0	209.0	54.0	6.0	1409.0	218.0	398.0	283.0	272.0	524.0	80.0	302.0	234.0	924.0	9.0	104.0	11.0	415.0	733.0	212.0	185.0	112.0	131.0	66.0	77.0	87.0	174.0	137.0
Macrophage alveolar	2.0	3204.0	14.0	7.0	2488.0	284.0	1312.0	226.0	338.0	499.0	11.0	11.0	0.0	19.0	19.0	279.0	95.0	64.0	371.0	73.0	3.0	7.0	4.0	9.0	0.0	41.0	3.0	21.0	18.0	2.0	5.0	11.0	0.0	5.0	3.0	48.0	121.0	355.0	0.0	11.0	0.0	2.0	0.0	0.0	5.0	7.0	85.0	1037.0	85.0	404.0	1329.0	380.0	58.0	80.0	5541.0	219.0	2945.0	911.0	93.0	858.0	2195.0	312.0	497.0	74.0	250.0	44.0	103.0	208.0	45.0	238.0	133.0	1078.0	83.0	89.0	995.0	265.0	14.0	62.0	59.0	472.0	107.0	152.0	53.0	212.0	52.0	46.0	176.0	54.0	281.0	11.0	0.0	1256.0	2979.0	506.0	172.0	1874.0	99.0	2.0	1389.0	14347.0	594.0	408.0	291.0	213.0	10.0	4.0	160.0	85.0	10.0	22.0	3.0	94.0	201.0	97.0	116.0	48.0	57.0	11.0	21.0	24.0	70.0	30.0
Mast cell	10.0	780.0	78.0	47.0	201.0	3.0	189.0	172.0	46.0	54.0	41.0	86.0	87.0	51.0	80.0	366.0	77.0	172.0	453.0	38.0	2.0	0.0	2.0	7.0	11.0	66.0	7.0	10.0	6.0	17.0	27.0	70.0	60.0	55.0	10.0	37.0	69.0	103.0	6.0	0.0	98.0	13.0	0.0	25.0	2.0	111.0	213.0	709.0	125.0	232.0	153.0	208.0	724.0	744.0	42.0	701.0	184.0	190.0	710.0	704.0	191.0	195.0	112.0	146.0	30.0	89.0	461.0	427.0	371.0	130.0	36.0	77.0	331.0	419.0	1082.0	106.0	172.0	439.0	71.0	390.0	672.0	198.0	11.0	360.0	67.0	337.0	130.0	166.0	142.0	45.0	11.0	360.0	391.0	235.0	135.0	0.0	2.0	7.0	70.0	851.0	80.0	155.0	77.0	57.0	63.0	16.0	15.0	52.0	7.0	74.0	3.0	53.0	23.0	39.0	36.0	19.0	23.0	13.0	7.0	12.0	19.0	20.0
Mesothelial	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Monocyte classical	14.0	356.0	23.0	35.0	731.0	990.0	61.0	118.0	62.0	124.0	54.0	34.0	9.0	120.0	75.0	151.0	40.0	105.0	84.0	21.0	3.0	8.0	8.0	17.0	14.0	12.0	58.0	153.0	64.0	15.0	40.0	30.0	8.0	12.0	10.0	105.0	148.0	136.0	2.0	75.0	17.0	49.0	5.0	50.0	2.0	40.0	167.0	888.0	382.0	215.0	204.0	683.0	281.0	188.0	341.0	678.0	614.0	510.0	1051.0	553.0	284.0	417.0	434.0	276.0	2114.0	108.0	442.0	491.0	327.0	843.0	295.0	1880.0	464.0	387.0	761.0	947.0	91.0	329.0	396.0	840.0	452.0	379.0	139.0	505.0	531.0	181.0	1221.0	256.0	584.0	740.0	18.0	975.0	1144.0	2531.0	1639.0	23.0	32.0	112.0	3949.0	1530.0	208.0	85.0	100.0	42.0	84.0	28.0	44.0	313.0	12.0	65.0	11.0	108.0	103.0	184.0	183.0	65.0	81.0	9.0	18.0	22.0	38.0	41.0
Monocyte non-classical	0.0	0.0	0.0	0.0	13.0	14.0	0.0	0.0	10.0	3.0	0.0	2.0	0.0	10.0	3.0	16.0	2.0	5.0	17.0	2.0	0.0	0.0	0.0	3.0	8.0	9.0	6.0	10.0	7.0	4.0	29.0	5.0	0.0	0.0	0.0	25.0	41.0	32.0	0.0	2.0	0.0	11.0	0.0	0.0	0.0	3.0	5.0	13.0	7.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	5.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	12.0	4.0	5.0	0.0	0.0	4.0	5.0	0.0	6.0	0.0	0.0	0.0	0.0	2.0	9.0	0.0	13.0	15.0	47.0	28.0	0.0	3.0	77.0	5.0	18.0	85.0	27.0	32.0	18.0	3.0	0.0	7.0	19.0	2.0	14.0	2.0	0.0	57.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
NK cell	48.0	229.0	46.0	70.0	462.0	335.0	140.0	251.0	78.0	44.0	154.0	46.0	37.0	125.0	30.0	191.0	85.0	87.0	153.0	59.0	9.0	12.0	10.0	23.0	45.0	60.0	32.0	55.0	58.0	35.0	135.0	61.0	75.0	41.0	10.0	115.0	140.0	132.0	0.0	98.0	51.0	2.0	22.0	49.0	0.0	11.0	422.0	282.0	395.0	551.0	182.0	282.0	184.0	367.0	77.0	525.0	867.0	305.0	206.0	210.0	358.0	416.0	681.0	479.0	267.0	119.0	684.0	707.0	328.0	1084.0	248.0	551.0	299.0	224.0	336.0	621.0	407.0	759.0	1031.0	167.0	65.0	410.0	201.0	262.0	217.0	212.0	286.0	349.0	170.0	235.0	254.0	813.0	942.0	528.0	374.0	0.0	61.0	318.0	716.0	608.0	491.0	320.0	198.0	156.0	21.0	40.0	158.0	115.0	18.0	299.0	50.0	66.0	325.0	24.0	32.0	24.0	24.0	19.0	8.0	16.0	17.0	13.0
