	Chen_Zhang_2020_NSCLC-10	Chen_Zhang_2020_NSCLC-4	Chen_Zhang_2020_NSCLC-5	Chen_Zhang_2020_NSCLC-8	Chen_Zhang_2020_NSCLC-9	Guo_Zhang_2018_P0617_TTC	Guo_Zhang_2018_P0617_TTH	Guo_Zhang_2018_P0617_TTR	Guo_Zhang_2018_P0729_TTC	Guo_Zhang_2018_P0729_TTH	Guo_Zhang_2018_P0913_TTC	Guo_Zhang_2018_P0913_TTH	Guo_Zhang_2018_P0913_TTR	Guo_Zhang_2018_P0913_TTY	Kim_Lee_2020_LUNG_T28	Kim_Lee_2020_LUNG_T31	Lambrechts_Thienpont_2018_6149v2_BT1290	Lambrechts_Thienpont_2018_6149v2_BT1291	Lambrechts_Thienpont_2018_6149v2_BT1292	Lambrechts_Thienpont_2018_6653_scrBT1430m	Lambrechts_Thienpont_2018_6653_scrBT1431m	Lambrechts_Thienpont_2018_6653_scrBT1432m	Maynard_Bivona_2020_LT_S74	P044	P045	P046	P047	P048	P049	UKIM-V-2_P11_tumor_primary	UKIM-V-2_P12_tumor_primary	UKIM-V-2_P7_tumor_primary	Wu_Zhou_2021_GSM4453576	Wu_Zhou_2021_GSM4453577	Wu_Zhou_2021_GSM4453578	Wu_Zhou_2021_GSM4453579	Wu_Zhou_2021_GSM4453580	Wu_Zhou_2021_GSM4453581	Wu_Zhou_2021_GSM4453582	Wu_Zhou_2021_GSM4453583	Wu_Zhou_2021_GSM4453584	Wu_Zhou_2021_GSM4453585	Wu_Zhou_2021_GSM4453586	Wu_Zhou_2021_GSM4453587	Wu_Zhou_2021_GSM4453588	Wu_Zhou_2021_GSM4453589	Wu_Zhou_2021_GSM4453590	Wu_Zhou_2021_GSM4453591	Wu_Zhou_2021_GSM4453592	Wu_Zhou_2021_GSM4453593	Wu_Zhou_2021_GSM4453594	Wu_Zhou_2021_GSM4453595	Wu_Zhou_2021_GSM4453596	Wu_Zhou_2021_GSM4453597	Wu_Zhou_2021_GSM4453598	Wu_Zhou_2021_GSM4453599	Wu_Zhou_2021_GSM4453600	Wu_Zhou_2021_GSM4453601	Wu_Zhou_2021_GSM4453602	Wu_Zhou_2021_GSM4453603	Wu_Zhou_2021_GSM4453604	Wu_Zhou_2021_GSM4453605	Wu_Zhou_2021_GSM4453606	Wu_Zhou_2021_GSM4453607	Wu_Zhou_2021_GSM4453608	Wu_Zhou_2021_GSM4453609	Wu_Zhou_2021_GSM4453610	Wu_Zhou_2021_GSM4453611	Wu_Zhou_2021_GSM4453612	Wu_Zhou_2021_GSM4453613	Wu_Zhou_2021_GSM4453614	Wu_Zhou_2021_GSM4453615	Wu_Zhou_2021_GSM4453616	Wu_Zhou_2021_GSM4453617	Zilionis_Klein_2019_p2t1	Zilionis_Klein_2019_p2t2	Zilionis_Klein_2019_p7t1	Zilionis_Klein_2019_p7t2
Neutrophils	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.0	430.0	38.0	9.0	600.0	54.0	60.0	28.0	177.0	0.0	0.0	0.0	10.0	0.0	8.0	6.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	73.0	0.0	0.0	29.0	0.0	7.0	0.0	98.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	53.0	590.0	0.0	2.0	83.0	0.0	19.0	7.0	7.0	362.0	229.0
Pericyte	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	7.0	36.0	51.0	12.0	4.0	5.0	0.0	91.0	27.0	11.0	62.0	80.0	16.0	14.0	0.0	7.0	0.0	54.0	0.0	6.0	196.0	0.0	6.0	8.0	0.0	49.0	36.0	3.0	3.0	5.0	2.0	0.0	3.0	21.0	121.0	0.0	0.0	9.0	3.0	2.0	0.0	19.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	6.0
Plasma cell	855.0	239.0	569.0	17.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	253.0	251.0	27.0	69.0	12.0	96.0	75.0	77.0	169.0	680.0	109.0	807.0	823.0	211.0	1446.0	222.0	409.0	2.0	162.0	0.0	5.0	311.0	69.0	44.0	565.0	72.0	132.0	77.0	24.0	50.0	85.0	86.0	28.0	3.0	14.0	16.0	2.0	8.0	78.0	0.0	98.0	52.0	0.0	6.0	3.0	93.0	0.0	0.0	11.0	6.0	0.0	23.0	2.0	3.0	24.0	5.0	155.0	25.0	6.0	55.0	25.0	27.0	80.0	93.0
Plasma cell dividing	112.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	2.0	30.0	0.0	6.0	6.0	7.0	7.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ROS1+ healthy epithelial	9.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	2.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Smooth muscle cell	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	31.0	10.0	6.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	51.0	8.0	0.0	9.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	5.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0
T cell CD4	2629.0	1314.0	1354.0	1085.0	16.0	28.0	132.0	112.0	16.0	26.0	9.0	98.0	128.0	63.0	485.0	941.0	373.0	335.0	325.0	238.0	710.0	213.0	65.0	222.0	322.0	957.0	472.0	546.0	1039.0	926.0	1314.0	570.0	0.0	0.0	0.0	10.0	4.0	3.0	101.0	27.0	4.0	3.0	6.0	5.0	28.0	0.0	0.0	0.0	0.0	7.0	17.0	0.0	0.0	59.0	5.0	26.0	0.0	22.0	13.0	21.0	0.0	0.0	0.0	61.0	0.0	0.0	10.0	0.0	3.0	30.0	32.0	159.0	0.0	70.0	25.0	19.0	103.0	73.0
T cell CD4 dividing	194.0	23.0	34.0	28.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	2.0	7.0	14.0	7.0	6.0	3.0	0.0	0.0	5.0	0.0	75.0	57.0	55.0	67.0	56.0	51.0	16.0	17.0	2.0	13.0	0.0	4.0	78.0	8.0	7.0	50.0	8.0	10.0	8.0	2.0	4.0	4.0	4.0	0.0	0.0	0.0	7.0	0.0	0.0	6.0	5.0	2.0	2.0	0.0	0.0	2.0	3.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	8.0	27.0	0.0	0.0	18.0	0.0	0.0	0.0	7.0
T cell CD8 activated	168.0	85.0	39.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	208.0	5.0	4.0	0.0	3.0	3.0	2.0	0.0	372.0	462.0	1702.0	736.0	224.0	1660.0	16.0	44.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	7.0	0.0	0.0	3.0	0.0	20.0	16.0
T cell CD8 dividing	247.0	16.0	57.0	21.0	0.0	6.0	0.0	0.0	2.0	0.0	10.0	0.0	0.0	0.0	32.0	28.0	31.0	36.0	12.0	27.0	3.0	11.0	0.0	79.0	21.0	21.0	30.0	60.0	15.0	10.0	32.0	4.0	8.0	0.0	3.0	59.0	0.0	11.0	29.0	0.0	7.0	3.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
T cell CD8 effector memory	3099.0	632.0	1516.0	531.0	0.0	91.0	5.0	7.0	87.0	9.0	158.0	60.0	5.0	12.0	317.0	1063.0	257.0	272.0	204.0	107.0	283.0	176.0	60.0	2120.0	2521.0	4526.0	2215.0	1559.0	3120.0	648.0	803.0	174.0	0.0	0.0	0.0	20.0	0.0	5.0	245.0	5.0	0.0	7.0	6.0	8.0	5.0	0.0	0.0	0.0	0.0	6.0	9.0	0.0	0.0	65.0	2.0	17.0	0.0	3.0	7.0	7.0	0.0	0.0	0.0	9.0	0.0	2.0	0.0	0.0	10.0	15.0	42.0	45.0	0.0	39.0	5.0	0.0	30.0	31.0
T cell CD8 naive	75.0	33.0	30.0	11.0	0.0	0.0	11.0	8.0	0.0	8.0	3.0	0.0	0.0	0.0	42.0	54.0	21.0	64.0	9.0	34.0	53.0	27.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	138.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	3.0	0.0	21.0	0.0	0.0	0.0	0.0
T cell CD8 terminally exhausted	803.0	110.0	881.0	136.0	0.0	8.0	0.0	0.0	26.0	0.0	32.0	6.0	0.0	2.0	268.0	320.0	320.0	397.0	127.0	151.0	70.0	85.0	8.0	111.0	20.0	85.0	53.0	173.0	93.0	107.0	564.0	15.0	5.0	0.0	0.0	40.0	0.0	0.0	118.0	0.0	3.0	3.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	7.0	2.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	8.0	5.0	4.0	2.0	0.0	39.0	0.0	0.0	0.0	0.0
T cell NK-like	188.0	23.0	11.0	63.0	0.0	18.0	0.0	0.0	27.0	3.0	19.0	3.0	0.0	0.0	71.0	63.0	59.0	57.0	26.0	40.0	29.0	14.0	4.0	0.0	0.0	0.0	0.0	2.0	15.0	86.0	122.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	2.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	19.0	4.0	21.0	0.0	32.0	0.0	0.0	0.0	0.0
T cell regulatory	2064.0	880.0	1410.0	322.0	0.0	0.0	5.0	14.0	0.0	0.0	0.0	8.0	28.0	5.0	172.0	319.0	150.0	253.0	54.0	92.0	142.0	100.0	14.0	996.0	671.0	2457.0	980.0	811.0	1629.0	176.0	615.0	90.0	4.0	0.0	0.0	41.0	0.0	0.0	151.0	7.0	7.0	12.0	8.0	5.0	28.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	30.0	3.0	5.0	0.0	8.0	7.0	13.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	2.0	12.0	35.0	9.0	0.0	69.0	12.0	11.0	35.0	35.0
Tumor cells LUAD	1378.0	49.0	133.0	471.0	849.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	622.0	86.0	220.0	329.0	312.0	129.0	4.0	37.0	48.0	298.0	198.0	75.0	249.0	113.0	58.0	642.0	160.0	136.0	204.0	174.0	309.0	26.0	490.0	60.0	9.0	145.0	282.0	102.0	5.0	31.0	112.0	19.0	547.0	479.0	154.0	739.0	5.0	136.0	1097.0	16.0	234.0	13.0	88.0	17.0	3.0	262.0	0.0	8.0	96.0	102.0	99.0	153.0	30.0	41.0	5.0	117.0	193.0	5.0	354.0	5.0	6.0	3.0	209.0	209.0
Tumor cells LUAD EMT	0.0	3.0	0.0	0.0	5873.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	9.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	19.0	0.0	100.0	8.0	0.0	0.0	3.0	0.0	10.0	19.0	141.0	7.0	0.0	0.0	0.0	3.0	28.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	32.0	2.0	0.0	0.0	526.0	233.0	0.0	0.0	0.0	36.0	0.0	3.0	3.0	6.0	0.0	0.0	118.0	135.0	3.0	3.0	0.0	4.0
Tumor cells LUAD MSLN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor cells LUAD NE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Tumor cells LUAD mitotic	18.0	0.0	0.0	437.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	3.0	67.0	25.0	22.0	0.0	0.0	0.0	2.0	7.0	3.0	0.0	11.0	3.0	0.0	18.0	10.0	0.0	7.0	9.0	7.0	0.0	202.0	0.0	2.0	9.0	1129.0	6.0	0.0	7.0	4.0	0.0	9.0	105.0	2.0	5.0	0.0	23.0	93.0	2.0	4.0	49.0	16.0	0.0	0.0	21.0	0.0	0.0	0.0	10.0	36.0	28.0	6.0	0.0	0.0	7.0	74.0	0.0	11.0	0.0	0.0	0.0	3.0	3.0
Tumor cells LUSC	2.0	4.0	30.0	7.0	178.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	6.0	11.0	12.0	32.0	45.0	0.0	12.0	0.0	40.0	0.0	0.0	0.0	23.0	0.0	45.0	88.0	0.0	1094.0	0.0	2427.0	307.0	0.0	46.0	31.0	2.0	22.0	865.0	2.0	9.0	2.0	202.0	101.0	23.0	4420.0	67.0	5.0	7.0	9.0	7.0	698.0	5.0	466.0	7.0	2.0	49.0	0.0	195.0	86.0	0.0	0.0	27.0	0.0	40.0	2.0	3.0	0.0	0.0	1778.0	13.0	18.0	18.0	2.0	3.0
Tumor cells LUSC mitotic	41.0	5.0	16.0	9.0	132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	11.0	23.0	43.0	9.0	0.0	2.0	0.0	33.0	2.0	0.0	8.0	30.0	2.0	18.0	171.0	0.0	1191.0	0.0	1283.0	231.0	2.0	51.0	31.0	16.0	26.0	735.0	5.0	7.0	0.0	569.0	165.0	9.0	563.0	81.0	0.0	9.0	16.0	2.0	224.0	7.0	1232.0	4.0	0.0	17.0	2.0	13.0	32.0	0.0	7.0	20.0	0.0	41.0	0.0	0.0	0.0	0.0	919.0	13.0	7.0	4.0	3.0	0.0
Tumor cells NSCLC mixed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	251.0	0.0	181.0	32.0	0.0	40.0	4.0	0.0	3.0	11.0	0.0	0.0	0.0	59.0	822.0	0.0	0.0	12.0	64.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	15.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0
cDC1	18.0	6.0	12.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	17.0	8.0	2.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0	4.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	16.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
cDC2	228.0	8.0	30.0	1128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	50.0	79.0	65.0	55.0	15.0	16.0	2.0	4.0	58.0	77.0	18.0	27.0	51.0	47.0	39.0	41.0	80.0	16.0	0.0	7.0	48.0	12.0	7.0	32.0	20.0	43.0	14.0	0.0	36.0	65.0	12.0	0.0	0.0	0.0	7.0	2.0	0.0	5.0	11.0	18.0	3.0	2.0	0.0	3.0	42.0	9.0	3.0	2.0	13.0	0.0	2.0	13.0	0.0	28.0	56.0	159.0	14.0	3.0	6.0	0.0	2.0	36.0	26.0
myeloid dividing	18.0	0.0	2.0	212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	7.0	12.0	13.0	15.0	6.0	0.0	0.0	7.0	10.0	116.0	14.0	72.0	6.0	15.0	32.0	14.0	28.0	22.0	0.0	8.0	74.0	115.0	9.0	18.0	9.0	18.0	24.0	3.0	9.0	15.0	18.0	23.0	5.0	0.0	24.0	0.0	0.0	4.0	3.0	24.0	10.0	3.0	0.0	0.0	77.0	10.0	0.0	0.0	5.0	3.0	5.0	0.0	2.0	17.0	13.0	154.0	3.0	5.0	0.0	0.0	0.0	3.0	3.0
pDC	29.0	3.0	14.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	11.0	2.0	0.0	3.0	3.0	0.0	2.0	58.0	12.0	25.0	20.0	48.0	31.0	3.0	6.0	8.0	2.0	0.0	3.0	0.0	0.0	4.0	20.0	0.0	2.0	0.0	2.0	13.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	11.0	6.0	0.0	4.0	0.0	0.0	24.0	31.0
stromal dividing	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	2.0	83.0	0.0	0.0	0.0	0.0	21.0	14.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0
transitional club/AT2	162.0	5.0	7.0	2515.0	189.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	19.0	49.0	28.0	14.0	8.0	19.0	4.0	2.0	9.0	63.0	11.0	2.0	4.0	19.0	24.0	2.0	151.0	0.0	0.0	0.0	0.0	313.0	18.0	39.0	10.0	73.0	0.0	0.0	18.0	3.0	0.0	0.0	9.0	0.0	0.0	0.0	3.0	32.0	0.0	0.0	8.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	102.0	39.0	6.0	164.0	0.0	0.0	28.0	36.0	6.0	0.0	0.0	0.0	0.0	11.0	13.0
