	BD_immune01	BD_immune02	BD_immune03	BD_immune04	BD_immune05	BD_immune06	BD_immune07	BD_immune08	BD_immune09	BD_immune10	BD_immune11	BD_immune12	BD_immune13	BD_immune14	BD_immune15	Chen_Zhang_2020_NSCLC-10	Chen_Zhang_2020_NSCLC-4	Chen_Zhang_2020_NSCLC-5	Chen_Zhang_2020_NSCLC-8	Chen_Zhang_2020_NSCLC-9	Kim_Lee_2020_BRONCHO_58	Kim_Lee_2020_EBUS_06	Kim_Lee_2020_EBUS_28	Kim_Lee_2020_EBUS_49	Kim_Lee_2020_LUNG_T28	Kim_Lee_2020_LUNG_T31	Lambrechts_Thienpont_2018_6149v2_BT1290	Lambrechts_Thienpont_2018_6149v2_BT1291	Lambrechts_Thienpont_2018_6149v2_BT1292	Lambrechts_Thienpont_2018_6653_scrBT1430m	Lambrechts_Thienpont_2018_6653_scrBT1431m	Lambrechts_Thienpont_2018_6653_scrBT1432m	Laughney_Massague_2020_GSM3516665	Maynard_Bivona_2020_LT_S01	Maynard_Bivona_2020_LT_S11	Maynard_Bivona_2020_LT_S42	Maynard_Bivona_2020_LT_S52	Maynard_Bivona_2020_LT_S56	Maynard_Bivona_2020_LT_S57	Maynard_Bivona_2020_LT_S58	Maynard_Bivona_2020_LT_S67	Maynard_Bivona_2020_LT_S71	Maynard_Bivona_2020_LT_S74	Maynard_Bivona_2020_LT_S79	Maynard_Bivona_2020_LT_S82	P044	P045	P046	P047	P048	P049	UKIM-V-2_P11_tumor_primary	UKIM-V-2_P12_tumor_primary	UKIM-V-2_P15_tumor_primary	UKIM-V-2_P7_tumor_primary	Wu_Zhou_2021_GSM4453576	Wu_Zhou_2021_GSM4453577	Wu_Zhou_2021_GSM4453578	Wu_Zhou_2021_GSM4453579	Wu_Zhou_2021_GSM4453580	Wu_Zhou_2021_GSM4453581	Wu_Zhou_2021_GSM4453582	Wu_Zhou_2021_GSM4453583	Wu_Zhou_2021_GSM4453584	Wu_Zhou_2021_GSM4453585	Wu_Zhou_2021_GSM4453586	Wu_Zhou_2021_GSM4453587	Wu_Zhou_2021_GSM4453588	Wu_Zhou_2021_GSM4453589	Wu_Zhou_2021_GSM4453590	Wu_Zhou_2021_GSM4453591	Wu_Zhou_2021_GSM4453592	Wu_Zhou_2021_GSM4453593	Wu_Zhou_2021_GSM4453594	Wu_Zhou_2021_GSM4453595	Wu_Zhou_2021_GSM4453596	Wu_Zhou_2021_GSM4453597	Wu_Zhou_2021_GSM4453598	Wu_Zhou_2021_GSM4453599	Wu_Zhou_2021_GSM4453600	Wu_Zhou_2021_GSM4453601	Wu_Zhou_2021_GSM4453602	Wu_Zhou_2021_GSM4453603	Wu_Zhou_2021_GSM4453604	Wu_Zhou_2021_GSM4453605	Wu_Zhou_2021_GSM4453606	Wu_Zhou_2021_GSM4453607	Wu_Zhou_2021_GSM4453608	Wu_Zhou_2021_GSM4453609	Wu_Zhou_2021_GSM4453610	Wu_Zhou_2021_GSM4453611	Wu_Zhou_2021_GSM4453612	Wu_Zhou_2021_GSM4453613	Wu_Zhou_2021_GSM4453614	Wu_Zhou_2021_GSM4453615	Wu_Zhou_2021_GSM4453616	Wu_Zhou_2021_GSM4453617	Zilionis_Klein_2019_p2t1	Zilionis_Klein_2019_p2t2	Zilionis_Klein_2019_p3t1	Zilionis_Klein_2019_p3t2	Zilionis_Klein_2019_p3t3	Zilionis_Klein_2019_p5t1	Zilionis_Klein_2019_p5t2	Zilionis_Klein_2019_p7t1	Zilionis_Klein_2019_p7t2	p019t	p030t	p033t
Tumor LUSC_mainly2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1832.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUSC_mitotic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	998.0	0.0	0.0	0.0	0.0	0.0	0.0	1682.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUSC_mitotic2	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2742.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor cells LUAD	0.0	7.0	3.0	50.0	0.0	4.0	10.0	0.0	0.0	0.0	0.0	4.0	9.0	0.0	4.0	0.0	0.0	0.0	57.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	87.0	0.0	10.0	0.0	140.0	3.0	0.0	0.0	0.0	2.0	2.0	7.0	45.0	5.0	7.0	0.0	6.0	0.0	0.0	2.0	4.0	4.0	0.0	0.0	0.0	379.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	31.0	68.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	7.0	4.0	14.0
Tumor cells LUAD MSLN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor cells LUAD mitotic	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor cells LUSC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Tumor cells NSCLC mixed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor mitotic_LUSC	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1805.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor mitotic_mixed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	434.0	0.0	0.0	0.0	236.0	0.0	2.0	0.0	5.0	14.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	559.0	0.0	7.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor mixed_LUAD	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	1621.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
cDC1	0.0	3.0	9.0	5.0	2.0	21.0	8.0	11.0	0.0	10.0	10.0	5.0	18.0	6.0	6.0	18.0	6.0	12.0	15.0	0.0	5.0	0.0	0.0	0.0	6.0	17.0	8.0	2.0	0.0	0.0	3.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	2.0	4.0	4.0	7.0	4.0	3.0	7.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0	4.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	16.0	0.0	0.0	0.0	2.0	0.0	4.0	5.0	5.0	0.0	0.0	0.0	2.0	0.0	5.0	3.0
cDC2	0.0	24.0	59.0	72.0	2.0	40.0	85.0	46.0	13.0	28.0	24.0	31.0	88.0	20.0	51.0	228.0	8.0	30.0	1128.0	0.0	42.0	0.0	23.0	4.0	29.0	50.0	79.0	65.0	55.0	15.0	16.0	2.0	181.0	0.0	0.0	0.0	5.0	2.0	8.0	44.0	0.0	18.0	4.0	29.0	8.0	108.0	163.0	40.0	48.0	55.0	63.0	39.0	41.0	69.0	80.0	16.0	0.0	7.0	48.0	12.0	7.0	32.0	20.0	43.0	14.0	0.0	36.0	65.0	12.0	0.0	0.0	0.0	7.0	2.0	0.0	5.0	11.0	18.0	3.0	2.0	0.0	3.0	42.0	9.0	3.0	2.0	13.0	0.0	2.0	13.0	0.0	28.0	56.0	159.0	14.0	3.0	6.0	0.0	2.0	31.0	43.0	53.0	25.0	42.0	36.0	26.0	18.0	53.0	56.0
myeloid dividing	19.0	4.0	5.0	26.0	10.0	20.0	11.0	103.0	13.0	22.0	42.0	18.0	4.0	9.0	306.0	18.0	0.0	2.0	212.0	0.0	26.0	3.0	20.0	0.0	15.0	7.0	12.0	13.0	15.0	6.0	0.0	0.0	53.0	0.0	0.0	0.0	5.0	0.0	3.0	8.0	0.0	0.0	7.0	0.0	5.0	8.0	55.0	6.0	57.0	3.0	13.0	32.0	14.0	26.0	28.0	22.0	0.0	8.0	74.0	115.0	9.0	18.0	9.0	18.0	24.0	3.0	9.0	15.0	18.0	23.0	5.0	0.0	24.0	0.0	0.0	4.0	3.0	24.0	10.0	3.0	0.0	0.0	77.0	10.0	0.0	0.0	5.0	3.0	5.0	0.0	2.0	17.0	13.0	154.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	7.0	3.0	3.0	7.0	14.0	31.0
pDC	2.0	6.0	32.0	21.0	0.0	26.0	105.0	20.0	11.0	51.0	3.0	41.0	15.0	7.0	3.0	29.0	3.0	14.0	6.0	0.0	3.0	2.0	0.0	4.0	10.0	10.0	11.0	2.0	0.0	3.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	43.0	0.0	2.0	2.0	7.0	7.0	66.0	12.0	27.0	26.0	51.0	33.0	3.0	6.0	64.0	8.0	2.0	0.0	3.0	0.0	0.0	4.0	20.0	0.0	2.0	0.0	2.0	13.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	11.0	6.0	0.0	4.0	0.0	0.0	8.0	4.0	8.0	6.0	11.0	24.0	31.0	3.0	23.0	16.0
stromal dividing	0.0	0.0	0.0	0.0	0.0	0.0	29.0	2.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	2.0	83.0	0.0	0.0	0.0	0.0	21.0	14.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transitional club/AT2	0.0	80.0	17.0	18.0	2.0	18.0	114.0	87.0	0.0	0.0	52.0	12.0	9.0	23.0	157.0	146.0	5.0	6.0	2515.0	177.0	0.0	4.0	2.0	0.0	18.0	17.0	48.0	20.0	12.0	2.0	17.0	4.0	77.0	0.0	35.0	0.0	0.0	6.0	24.0	3.0	0.0	10.0	0.0	2.0	13.0	10.0	132.0	35.0	11.0	8.0	30.0	4.0	2.0	54.0	147.0	0.0	0.0	0.0	0.0	303.0	16.0	39.0	10.0	2.0	0.0	0.0	15.0	2.0	0.0	0.0	9.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	6.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	102.0	39.0	0.0	164.0	0.0	0.0	25.0	26.0	6.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	127.0	89.0	9.0	8.0	14.0	5.0	67.0
Alveolar cell type 1	0.0	0.0	5.0	18.0	0.0	0.0	5.0	0.0	0.0	0.0	6.0	0.0	2.0	6.0	2.0	56.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	14.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alveolar cell type 2	3.0	18.0	62.0	36.0	2.0	36.0	335.0	6.0	0.0	0.0	50.0	10.0	7.0	30.0	95.0	574.0	2.0	6.0	348.0	27.0	0.0	0.0	0.0	0.0	168.0	70.0	17.0	3.0	3.0	7.0	12.0	0.0	8.0	2.0	13.0	0.0	3.0	0.0	218.0	21.0	20.0	48.0	5.0	0.0	2.0	47.0	40.0	0.0	0.0	37.0	105.0	2.0	2.0	10.0	4.0	0.0	0.0	0.0	0.0	95.0	0.0	51.0	212.0	0.0	0.0	0.0	282.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	319.0	0.0	0.0	17.0	161.0	0.0	0.0	0.0	0.0	0.0	42.0	38.0	50.0	17.0	7.0	24.0	28.0	0.0	12.0	81.0
B cell	33.0	1878.0	797.0	432.0	195.0	85.0	59.0	178.0	131.0	56.0	243.0	1196.0	114.0	1641.0	361.0	1128.0	295.0	1572.0	147.0	0.0	102.0	98.0	6.0	164.0	241.0	22.0	225.0	146.0	92.0	167.0	685.0	110.0	72.0	0.0	0.0	10.0	0.0	2.0	6.0	3.0	0.0	47.0	32.0	12.0	0.0	969.0	180.0	414.0	1068.0	884.0	980.0	129.0	451.0	72.0	69.0	0.0	2.0	0.0	0.0	2.0	8.0	112.0	57.0	0.0	0.0	6.0	51.0	139.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	5.0	0.0	19.0	0.0	2.0	0.0	0.0	0.0	24.0	0.0	0.0	5.0	2.0	0.0	8.0	20.0	50.0	0.0	7.0	14.0	7.0	766.0	888.0	724.0	88.0	320.0	39.0	37.0	31.0	1237.0	375.0
B cell dividing	0.0	4.0	42.0	0.0	5.0	0.0	0.0	0.0	3.0	2.0	0.0	20.0	2.0	34.0	0.0	5.0	4.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	11.0	17.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	25.0	0.0	3.0	9.0	14.0	7.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ciliated	0.0	11.0	0.0	13.0	0.0	4.0	3.0	0.0	0.0	0.0	305.0	53.0	0.0	146.0	196.0	5.0	0.0	4.0	61.0	0.0	9.0	5.0	68.0	2.0	6.0	13.0	12.0	6.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	258.0	6.0	0.0	0.0	3.0	0.0	10.0	0.0	15.0	20.0	0.0	6.0	17.0	18.0	0.0	3.0	2.0	21.0	6.0	0.0	2.0	0.0	8.0	293.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	116.0	73.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	20.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	168.0	35.0	0.0	0.0	0.0	4.0	2.0	5.0	4.0	3.0	0.0	0.0	58.0	20.0	50.0
Club	2.0	4.0	0.0	10.0	0.0	2.0	3.0	0.0	0.0	0.0	52.0	16.0	0.0	14.0	76.0	18.0	0.0	3.0	0.0	0.0	7.0	0.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	7.0	5.0	0.0	3.0	4.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	2.0	7.0	112.0	3.0	0.0	9.0	0.0	0.0	0.0	0.0	19.0	12.0	0.0	0.0	34.0	10.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	34.0	5.0	15.0
DC mature	0.0	0.0	8.0	6.0	3.0	7.0	12.0	18.0	6.0	7.0	14.0	3.0	12.0	14.0	14.0	20.0	0.0	5.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	9.0	0.0	0.0	2.0	11.0	2.0	33.0	29.0	11.0	29.0	28.0	23.0	2.0	2.0	7.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	22.0	4.0	8.0	4.0	0.0	3.0	24.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	3.0	6.0	0.0	7.0	4.0
Endothelial cell arterial	0.0	0.0	0.0	0.0	0.0	0.0	11.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	7.0	9.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell capillary	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	3.0	0.0	11.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	15.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	3.0	8.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell lymphatic	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	13.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	9.0	36.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	7.0	2.0	9.0	3.0	0.0	5.0	4.0	12.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	2.0
